Short Name,Full Name,Category,Sponsoring Space Agency,Module
Ryutai,Ryutai Experiment Rack,Multipurpose,Japan Aerospace Exploration Agency (JAXA),JEM
SABL,Space Automated Bioproduct Laboratory,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),US Lab
Saibo,Saibo Experiment Rack,Multipurpose,Japan Aerospace Exploration Agency (JAXA),JEM
SALI,Space Automated Lab Incubator,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),Dependent
SAMS-II,Space Acceleration Measurement System-II,Multipurpose,National Aeronautics and Space Administration (NASA),US Lab
SCAN Testbed,Space Communications and Navigation Testbed,Technology Development and Demonstration,National Aeronautics and Space Administration (NASA),JEM
SCOF,Solution Crystallization Observation Facility,Biology and Biotechnology,Japan Aerospace Exploration Agency (JAXA),JEM
SLAMMD,Space Linear Acceleration Mass Measurement Device,Human Research,National Aeronautics and Space Administration (NASA),US Lab
SlingShot,SlingShot,Multipurpose,National Aeronautics and Space Administration (NASA),
SoFIE,Solid Fuel Ignition and Extinction,Physical Science,National Aeronautics and Space Administration (NASA),US Lab
Solar,Sun Monitoring on the External Payload Facility of Columbus,Earth and Space Science,European Space Agency (ESA),Columbus
SUBSA,Solidification Using a Baffle in Sealed Ampoules,Physical Science,National Aeronautics and Space Administration (NASA),US Lab
SPACE DREAMS,SPACE DREAMS Facility,Human Research,National Aeronautics and Space Administration (NASA),
Spectrum,Spectrum,Multipurpose,National Aeronautics and Space Administration (NASA),
SPHERES,Synchronized Position Hold Engage Reorient Experimental Satellites,Technology Development and Demonstration,National Aeronautics and Space Administration (NASA),Dependent
SPySE,Small Payload Support Equipment,Multipurpose,Japan Aerospace Exploration Agency (JAXA),JEM
STaARS-1 EF,Space Technology and Advanced Research Systems Inc.-1 Experiment Facility,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),US Lab
TangoLab-1,TangoLab-1,Multipurpose,National Aeronautics and Space Administration (NASA),US Lab
TangoLab-2,TangoLab-2,Multipurpose,National Aeronautics and Space Administration (NASA),US Lab
TELLAS,TELe-Luminescence Analysis System,Multipurpose,Japan Aerospace Exploration Agency (JAXA),JEM
TEPC,Tissue Equivalent Proportional Counter,Human Research,National Aeronautics and Space Administration (NASA),Dependent
TVIS,Treadmill with Vibration Isolation and Stabilization System,Human Research,National Aeronautics and Space Administration (NASA),Node 3
Ultrasound,Human Research Facility Ultrasound on the International Space Station,Human Research,National Aeronautics and Space Administration (NASA),US Lab
Ultrasound 2,Human Research Facility Ultrasound on the International Space Station 2 ,Human Research,National Aeronautics and Space Administration (NASA),US Lab
UMS,Urine Monitoring System,Human Research,National Aeronautics and Space Administration (NASA),Node 3
Veggie,Vegetable Production System,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),Columbus
Wearable Monitoring,Wearable System for Sleep Monitoring in Microgravity Facility,Human Research,National Aeronautics and Space Administration (NASA),
Wet Lab Kit,Wet Lab Kit,Multipurpose,National Aeronautics and Space Administration (NASA),
Wet Lab RNA SmartCycler,Wet Lab RNA SmartCycler,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),
WORF,Window Observational Research Facility,Earth and Space Science,National Aeronautics and Space Administration (NASA),US Lab
BFF,BioFabrication Facility,inSPA,National Aeronautics and Space Administration (NASA),Columbus
JBN,Janus base nanomaterials,inSPA,National Aeronautics and Space Administration (NASA),
CRF,Cell Reprogramming Facility,inSPA,National Aeronautics and Space Administration (NASA),
NeuroSpan Bridge,Drug Delivery Medical Device,inSPA,National Aeronautics and Space Administration (NASA),
HSC,Expansion of Hematopoietic Stem Cells,inSPA,National Aeronautics and Space Administration (NASA),
HMFG,Heavy-Metal Fluoride Glasses,inSPA,National Aeronautics and Space Administration (NASA),
FOP,Fiber Optic Production,inSPA,National Aeronautics and Space Administration (NASA),
Tissue Engineered Liver,In Space Manufacturing of Tissue Engineered Liver,inSPA,National Aeronautics and Space Administration (NASA),
BEOL,In Space Production of MoS2 for Silicon Back-End-of-Line,inSPA,National Aeronautics and Space Administration (NASA),
ICF,Industrial Crystallization Facility#Industrial Crystals Facility,inSPA,National Aeronautics and Space Administration (NASA),
ISSCOR,Integrated Space Stem Cell Orbiting Lab,inSPA,National Aeronautics and Space Administration (NASA),
IGO,Intelligent Glass Optics,inSPA,National Aeronautics and Space Administration (NASA),
MSTIC,Manufacturing of Semiconductors and Thin-film Integrated Coatings,inSPA,National Aeronautics and Space Administration (NASA),
BOX,Pharmaceutical In Space Laboratory Bio-crystal Optimization Xperiment,inSPA,National Aeronautics and Space Administration (NASA),
iPSC,Production and Differentiation of Induced Pluripotent Stem Cells,inSPA,National Aeronautics and Space Administration (NASA),
Protein-Based Artificial Retinas,Protein-Based Artificial Retinas,inSPA,National Aeronautics and Space Administration (NASA),
Nanoligomer,Low-Cost Nanoligomer based Drug Discovery in Space,inSPA,National Aeronautics and Space Administration (NASA),
Semimetal-Semiconductor Composite Bulk Crystals,Semimetal-Semiconductor Composite Bulk Crystals,inSPA,National Aeronautics and Space Administration (NASA),
Space Fibers,Space Fibers,inSPA,National Aeronautics and Space Administration (NASA),
Stem Cell Production,Stem Cell Production,inSPA,National Aeronautics and Space Administration (NASA),
TCMM,Turbine Ceramic Manufacturing Module,inSPA,National Aeronautics and Space Administration (NASA),
TSCM,Turbine Superalloy Casting Module,inSPA,National Aeronautics and Space Administration (NASA),
VAM,VAM Organ Production,inSPA,National Aeronautics and Space Administration (NASA),
