Pair,NASA Categories,Custom Categories,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
IPU/MSG,Multipurpose/Multipurpose,Image processing/Glovebox,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPM/Ultrasound,Human Research/Human Research,Crew health/Crew health,0,6,4,4,0,0,0,2,0,0,0,0,0,0,0,0
ALTEA/MELFI,Human Research/Multipurpose,Crew health/Refrigeration,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGBA/CIR,Biology and Biotechnology/Physical Science,Biology/Furnace,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARES/MELFI,Human Research/Multipurpose,Crew health/Refrigeration,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGBA/PFS,Biology and Biotechnology/Human Research,Biology/Crew health,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
EDR/FSL,Multipurpose/Physical Science,General science/Fluids,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
EPM/FSL,Human Research/Physical Science,Crew health/Fluids,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MERLIN/PCBA,Biology and Biotechnology/Human Research,Refrigeration/Crew health,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBEF/MSG,Biology and Biotechnology/Multipurpose,Biology/Glovebox,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ETC/FSL,Multipurpose/Physical Science,Stowage/Fluids,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBEF/GLACIER,Biology and Biotechnology/Multipurpose,Biology/Refrigeration,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EDR/ETC,Multipurpose/Multipurpose,General science/Stowage,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0
ABRS/ELC,Biology and Biotechnology/Earth and Space Science,Plant/External payloads,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGBA/TEPC,Biology and Biotechnology/Human Research,Biology/Crew health,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MELFI/TEPC,Multipurpose/Human Research,Refrigeration/Crew health,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGBA/PCBA,Biology and Biotechnology/Human Research,Biology/Crew health,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIR/PCBA,Physical Science/Human Research,Fluids/Crew health,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSG/PCBA,Multipurpose/Human Research,Glovebox/Crew health,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBEF/Double Coldbag,Biology and Biotechnology/Multipurpose,Biology/Refrigeration,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLACIER/Saibo,Multipurpose/Multipurpose,Refrigeration/Biology,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Double Coldbag/Saibo,Multipurpose/Multipurpose,Refrigeration/Biology,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BSTC/EXPRESS Rack,Biology and Biotechnology/Multipurpose,Biology/General science,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIR/SCOF,Physical Science/Biology and Biotechnology,Fluids/Microscope,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DECLIC/MSL,Physical Science/Physical Science,Fluids/Furnace,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KFT/Kubik,Biology and Biotechnology/Multipurpose,Glovebox/Incubator,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kubik/TEPC,Multipurpose/Human Research,Incubator/Crew health,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDR/Kubik,Multipurpose/Multipurpose,General science/Incubator,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0
EXPRESS Rack/GN2,Multipurpose/Multipurpose,General science/General science,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0
EMCS/GN2,Biology and Biotechnology/Multipurpose,Plant/General science,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BioLab/MELFI,Multipurpose/Multipurpose,Biology/Refrigeration,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ABRS/MERLIN,Biology and Biotechnology/Biology and Biotechnology,Plant/Refrigeration,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryutai/Saibo,Multipurpose/Multipurpose,General science/Biology,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PCBA/Ultrasound,Human Research/Human Research,Crew health/Crew health,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
