,itemsets,Distance
2863,"frozenset({'J-SSOD', 'NanoRacks CubeSat Deployer'})",0
2932,"frozenset({'CB', 'CBEF-L'})",0
2855,"frozenset({'CB', 'ELF'})",0
2845,"frozenset({'MSPR', 'Confocal Microscope'})",0
2898,"frozenset({'FROST', 'CB'})",0
2354,"frozenset({'COLBERT', 'UMS'})",0
173,"frozenset({'MSG', 'PFS'})",0
2380,"frozenset({'CIR', 'SLAMMD'})",0
2750,"frozenset({'HRF-2', 'BRIC'})",0
1557,"frozenset({'CIR', 'SAMS-II'})",0
2933,"frozenset({'CBEF-L', 'IPU'})",0
561,"frozenset({'MSG', 'WORF'})",0
2956,"frozenset({'Bone Densitometer', 'Ultrasound 2'})",0
2604,"frozenset({'Saibo', 'Ryutai'})",0
2585,"frozenset({'HRF-2', 'Ultrasound 2'})",0
2437,"frozenset({'Holter', 'MSRR-1'})",0
1665,"frozenset({'Holter', 'CGBA'})",0
2926,"frozenset({'J-SSOD', 'EXHAM'})",0
2607,"frozenset({'MSPR', 'Ryutai'})",0
2851,"frozenset({'NanoRacks External Platform', 'J-SSOD'})",0
1834,"frozenset({'MSG', 'RC'})",0
2433,"frozenset({'MSRR-1', 'FIR'})",0
1841,"frozenset({'Ultrasound 2', 'SLAMMD'})",0
1976,"frozenset({'MELFI', 'IPU'})",0
2424,"frozenset({'Holter', 'MSL'})",0
2423,"frozenset({'PFS', 'MSL'})",0
1981,"frozenset({'CB', 'IPU'})",0
1946,"frozenset({'MELFI', 'PCRF'})",0
2025,"frozenset({'CGBA', 'FIR'})",0
2024,"frozenset({'Ultrasound', 'FIR'})",0
2022,"frozenset({'CEVIS', 'FIR'})",0
1842,"frozenset({'Ultrasound 2', 'WORF'})",0
1843,"frozenset({'Ultrasound 2', 'CGBA'})",0
2451,"frozenset({'MSPR', 'CCE'})",0
2384,"frozenset({'WORF', 'SLAMMD'})",0
1329,"frozenset({'TVIS', 'ARED'})",0
2894,"frozenset({'FROST', 'MELFI'})",0
1844,"frozenset({'CEVIS', 'Ultrasound 2'})",0
2876,"frozenset({'CellCult', 'MELFI'})",0
2560,"frozenset({'IPU', 'SCOF'})",0
1932,"frozenset({'EDR', 'ETC'})",0
2580,"frozenset({'HRF-2', 'PFS'})",0
2373,"frozenset({'MSPR', 'CBEF'})",0
1666,"frozenset({'Holter', 'Ultrasound'})",0
2815,"frozenset({'MSG', 'SABL'})",0
1817,"frozenset({'MELFI', 'Saibo'})",0
2861,"frozenset({'MSG', 'SUBSA'})",0
2734,"frozenset({'Aquatic Habitat', 'CBEF'})",0
1558,"frozenset({'MSRR-1', 'SAMS-II'})",0
2733,"frozenset({'MSPR', 'Aquatic Habitat'})",0
2761,"frozenset({'SABL', 'LSG'})",0
2768,"frozenset({'EDR', 'Kubik'})",0
1726,"frozenset({'CEVIS', 'CIR'})",0
2884,"frozenset({'Glovebox Freezer', 'LSG'})",0
2561,"frozenset({'Ryutai', 'SCOF'})",0
1741,"frozenset({'MSG', 'BXF'})",0
2732,"frozenset({'Aquatic Habitat', 'MELFI'})",0
1980,"frozenset({'MSPR', 'IPU'})",0
2432,"frozenset({'CEVIS', 'MSRR-1'})",0
2412,"frozenset({'Plant Habitat', 'MELFI'})",0
2387,"frozenset({'RC', 'SLAMMD'})",0
559,"frozenset({'CGBA', 'WORF'})",0
1681,"frozenset({'MSG', 'CGBA'})",0
2819,"frozenset({'SABL', 'CGBA'})",0
1847,"frozenset({'PFS', 'Ultrasound 2'})",0
176,"frozenset({'Ultrasound', 'PFS'})",0
2431,"frozenset({'MSRR-1', 'MSL'})",0
