,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
2277,"frozenset({'Actiwatch Spectrum', 'HRF-1', 'Ultrasound 2'})",frozenset({'Holter Monitor 2'}),0.00015074998115625234,0.013567498304062712,0.00015074998115625234,1.0,73.70555555555556,0.0001487046810425774,inf,0.9865812287975877
2516,"frozenset({'CIR', 'FIR', 'MELFI'})",frozenset({'MSG'}),0.00015074998115625234,0.044245119469360064,0.00015074998115625234,1.0,22.601362862010223,0.00014408003022999019,inf,0.9558989822842067
2810,"frozenset({'Holter', 'PFS', 'MELFI'})",frozenset({'RC'}),0.0006783749152031356,0.04537574432803196,0.0006783749152031356,1.0,22.038205980066447,0.0006475931484923278,inf,0.9552722884296274
2085,"frozenset({'Portable Pulmonary Function System', 'Ultrasound'})",frozenset({'PFS'}),0.00022612497173437853,0.01635637295545338,0.00022612497173437853,1.0,61.13824884792627,0.00022242638736214967,inf,0.983866103739445
2945,"frozenset({'Portable Pulmonary Function System', 'Ultrasound', 'CEVIS'})","frozenset({'Ultrasound 2', 'PFS'})",0.00015074998115625234,0.0003014999623125047,0.00015074998115625234,1.0,3316.7500000000005,0.00015070453004261512,inf,0.9998492272898605
2307,"frozenset({'Holter Monitor 2', 'Ultrasound 2', 'Ultrasound'})",frozenset({'Actiwatch Spectrum'}),0.0018843747644531545,0.007462124067234492,0.0018843747644531545,1.0,134.010101010101,0.0018703133261716394,inf,0.9944117202839451
2116,"frozenset({'Veggie', 'GLACIER'})","frozenset({'MWA', 'ABRS'})",0.00015074998115625234,0.00045224994346875706,0.00015074998115625234,1.0,2211.1666666666665,0.0001506818044857965,inf,0.9996984545797211
2117,"frozenset({'ABRS', 'GLACIER'})","frozenset({'MWA', 'Veggie'})",0.00015074998115625234,0.00045224994346875706,0.00015074998115625234,1.0,2211.1666666666665,0.0001506818044857965,inf,0.9996984545797211
1274,"frozenset({'CGBA', 'Holter'})",frozenset({'CEVIS'}),0.00015074998115625234,0.11215798598025176,0.00015074998115625234,1.0,8.915994623655914,0.00013384216688320618,inf,0.8879758763663778
2954,"frozenset({'Portable Pulmonary Function System', 'Ultrasound 2'})","frozenset({'Ultrasound', 'PFS', 'CEVIS'})",0.00015074998115625234,0.00015074998115625234,0.00015074998115625234,1.0,6633.500000000001,0.00015072725559943373,inf,1.0
2505,"frozenset({'Portable Pulmonary Function System', 'Ultrasound 2'})","frozenset({'Ultrasound', 'CEVIS'})",0.00015074998115625234,0.013115248360593955,0.00015074998115625234,1.0,76.24712643678161,0.00014877285771303323,inf,0.9870335469280059
2420,"frozenset({'CGBA', 'Portable Pulmonary Function System'})","frozenset({'PFS', 'CEVIS'})",0.00015074998115625234,0.00829124896359388,0.00015074998115625234,1.0,120.60909090909091,0.00014950007553122876,inf,0.9918582736524688
2236,"frozenset({'TVIS', 'Holter Monitor 2', 'CEVIS'})",frozenset({'Actiwatch'}),0.00015074998115625234,0.048164618979422626,0.00015074998115625234,1.0,20.76212832550861,0.0001434891657527063,inf,0.9519788918205805
2798,"frozenset({'HRF-1', 'Holter Monitor 2'})","frozenset({'Ultrasound 2', 'Ultrasound'})",0.00015074998115625234,0.004597874425265697,0.00015074998115625234,1.0,217.49180327868854,0.0001500568516732847,inf,0.9955522050508857
2796,"frozenset({'HRF-1', 'Ultrasound 2', 'Ultrasound'})",frozenset({'Holter Monitor 2'}),0.00015074998115625234,0.013567498304062712,0.00015074998115625234,1.0,73.70555555555556,0.0001487046810425774,inf,0.9865812287975877
2795,"frozenset({'HRF-1', 'Holter Monitor 2', 'Ultrasound'})",frozenset({'Ultrasound 2'}),0.00015074998115625234,0.007612874048390744,0.00015074998115625234,1.0,131.35643564356437,0.0001496023405369125,inf,0.9925367508480964
2794,"frozenset({'HRF-1', 'Holter Monitor 2', 'Ultrasound 2'})",frozenset({'Ultrasound'}),0.00015074998115625234,0.04183311977086003,0.00015074998115625234,1.0,23.904504504504505,0.00014444363913908794,inf,0.9583113456464379
914,"frozenset({'CGBA', 'ARED'})",frozenset({'MELFI'}),0.00015074998115625234,0.10688173663978293,0.00015074998115625234,1.0,9.356135401974612,0.00013463756137185753,inf,0.8932529212212589
2968,"frozenset({'GLACIER', 'MERLIN', 'ELC', 'MELFI'})",frozenset({'EXPRESS Rack'}),0.00015074998115625234,0.04168236978970378,0.00015074998115625234,1.0,23.990958408679926,0.00014446636469590655,inf,0.9584621183565775
944,"frozenset({'PCBA', 'ARED'})",frozenset({'MELFI'}),0.00015074998115625234,0.10688173663978293,0.00015074998115625234,1.0,9.356135401974612,0.00013463756137185753,inf,0.8932529212212589
2306,"frozenset({'Actiwatch Spectrum', 'Ultrasound 2', 'Ultrasound'})",frozenset({'Holter Monitor 2'}),0.0018843747644531545,0.013567498304062712,0.0018843747644531545,1.0,73.70555555555556,0.0018588085130322178,inf,0.9882948195136687
2970,"frozenset({'GLACIER', 'ELC', 'EXPRESS Rack', 'MELFI'})",frozenset({'MERLIN'}),0.00015074998115625234,0.010929373633828296,0.00015074998115625234,1.0,91.49655172413793,0.00014910237828690307,inf,0.9892197512250283
2971,"frozenset({'MERLIN', 'ELC', 'EXPRESS Rack', 'MELFI'})",frozenset({'GLACIER'}),0.00015074998115625234,0.009798748775156404,0.00015074998115625234,1.0,102.05384615384615,0.00014927281996304266,inf,0.9903505465510742
2780,"frozenset({'MELFI', 'MERLIN', 'Polar'})",frozenset({'GLACIER'}),0.00015074998115625234,0.009798748775156404,0.00015074998115625234,1.0,102.05384615384615,0.00014927281996304266,inf,0.9903505465510742
1454,"frozenset({'CGBA', 'Portable Pulmonary Function System'})",frozenset({'PFS'}),0.00015074998115625234,0.01635637295545338,0.00015074998115625234,1.0,61.13824884792627,0.0001482842582414331,inf,0.9837919336600076
956,"frozenset({'PCBA', 'MERLIN'})",frozenset({'ARED'}),0.00015074998115625234,0.15677998040250246,0.00015074998115625234,1.0,6.3783653846153845,0.00012711540206489748,inf,0.8433471541650961
957,"frozenset({'PCBA', 'ARED'})",frozenset({'MERLIN'}),0.00015074998115625234,0.010929373633828296,0.00015074998115625234,1.0,91.49655172413793,0.00014910237828690307,inf,0.9892197512250283
2974,"frozenset({'GLACIER', 'ELC', 'MELFI'})","frozenset({'MERLIN', 'EXPRESS Rack'})",0.00015074998115625234,0.00256274967965629,0.00015074998115625234,1.0,390.20588235294116,0.00015036364669033598,inf,0.9975876366377686
1593,"frozenset({'ELC', 'MELFI'})",frozenset({'EXPRESS Rack'}),0.00015074998115625234,0.04168236978970378,0.00015074998115625234,1.0,23.990958408679926,0.00014446636469590655,inf,0.9584621183565775
2305,"frozenset({'Actiwatch Spectrum', 'Holter Monitor 2', 'Ultrasound'})",frozenset({'Ultrasound 2'}),0.0018843747644531545,0.007612874048390744,0.0018843747644531545,1.0,131.35643564356437,0.0018700292567114067,inf,0.9942606856970246
2976,"frozenset({'MERLIN', 'ELC', 'MELFI'})","frozenset({'EXPRESS Rack', 'GLACIER'})",0.00015074998115625234,0.0022612497173437854,0.00015074998115625234,1.0,442.23333333333335,0.00015040909780397317,inf,0.9978891820580474
2114,"frozenset({'MWA', 'GLACIER'})","frozenset({'ABRS', 'Veggie'})",0.00015074998115625234,0.0005276249340468832,0.00015074998115625234,1.0,1895.2857142857144,0.0001506704417073872,inf,0.9996230682246514
2715,"frozenset({'FPEF', 'PCRF'})","frozenset({'IPU', 'Ryutai'})",0.0003768749528906309,0.0012059998492500187,0.0003768749528906309,1.0,829.1875000000001,0.0003764204417542587,inf,0.9991705625094254
1359,"frozenset({'MSRR-1', 'CEVIS'})",frozenset({'MSL'}),0.00022612497173437853,0.00829124896359388,0.00022612497173437853,1.0,120.60909090909091,0.00022425011329684316,inf,0.9919330518697225
2102,"frozenset({'Portable Pulmonary Function System', 'Ultrasound 2'})",frozenset({'Ultrasound'}),0.00015074998115625234,0.04183311977086003,0.00015074998115625234,1.0,23.904504504504505,0.00014444363913908794,inf,0.9583113456464379
2090,"frozenset({'Portable Pulmonary Function System', 'Ultrasound 2'})",frozenset({'PFS'}),0.00015074998115625234,0.01635637295545338,0.00015074998115625234,1.0,61.13824884792627,0.0001482842582414331,inf,0.9837919336600076
1448,"frozenset({'CGBA', 'PCBA'})",frozenset({'MELFI'}),0.00015074998115625234,0.10688173663978293,0.00015074998115625234,1.0,9.356135401974612,0.00013463756137185753,inf,0.8932529212212589
2946,"frozenset({'Portable Pulmonary Function System', 'Ultrasound 2', 'PFS'})","frozenset({'Ultrasound', 'CEVIS'})",0.00015074998115625234,0.013115248360593955,0.00015074998115625234,1.0,76.24712643678161,0.00014877285771303323,inf,0.9870335469280059
2947,"frozenset({'Portable Pulmonary Function System', 'Ultrasound 2', 'Ultrasound'})","frozenset({'PFS', 'CEVIS'})",0.00015074998115625234,0.00829124896359388,0.00015074998115625234,1.0,120.60909090909091,0.00014950007553122876,inf,0.9918582736524688
1730,"frozenset({'Portable Pulmonary Function System', 'EXPRESS Rack'})",frozenset({'PFS'}),0.0003014999623125047,0.01635637295545338,0.0003014999623125047,1.0,61.13824884792627,0.0002965685164828662,inf,0.9839402850033929
856,"frozenset({'ADSEP', 'MELFI'})",frozenset({'CellCult'}),0.00015074998115625234,0.0007537499057812618,0.00015074998115625234,1.0,1326.7,0.00015063635337215928,inf,0.9993969091594421
2239,"frozenset({'TVIS', 'Holter Monitor 2'})","frozenset({'Actiwatch', 'CEVIS'})",0.00015074998115625234,0.0015074998115625236,0.00015074998115625234,1.0,663.35,0.00015052272558806624,inf,0.9986430456087448
2949,"frozenset({'Ultrasound 2', 'PFS', 'CEVIS'})","frozenset({'Portable Pulmonary Function System', 'Ultrasound'})",0.00015074998115625234,0.00022612497173437853,0.00015074998115625234,1.0,4422.333333333333,0.00015071589282102444,inf,0.9999246136449303
2809,"frozenset({'Holter', 'RC', 'MELFI'})",frozenset({'PFS'}),0.0006783749152031356,0.01635637295545338,0.0006783749152031356,1.0,61.13824884792627,0.0006672791620864491,inf,0.9843113591793634
861,"frozenset({'CellCult', 'SABL'})",frozenset({'ADSEP'}),0.00015074998115625234,0.0010552498680937664,0.00015074998115625234,1.0,947.6428571428572,0.00015059090225852208,inf,0.9990953637391633
2238,"frozenset({'TVIS', 'Actiwatch'})","frozenset({'Holter Monitor 2', 'CEVIS'})",0.00015074998115625234,0.0015828748021406496,0.00015074998115625234,1.0,631.7619047619048,0.00015051136280965695,inf,0.9985676592536752
862,"frozenset({'SABL', 'ADSEP'})",frozenset({'CellCult'}),0.00015074998115625234,0.0007537499057812618,0.00015074998115625234,1.0,1326.7,0.00015063635337215928,inf,0.9993969091594421
2417,"frozenset({'CGBA', 'Portable Pulmonary Function System', 'CEVIS'})",frozenset({'PFS'}),0.00015074998115625234,0.01635637295545338,0.00015074998115625234,1.0,61.13824884792627,0.0001482842582414331,inf,0.9837919336600076
2714,"frozenset({'IPU', 'PCRF'})","frozenset({'FPEF', 'Ryutai'})",0.0003768749528906309,0.0015828748021406496,0.0003768749528906309,1.0,631.7619047619048,0.0003762784070241424,inf,0.9987935454682552
2573,"frozenset({'ELC', 'EXPRESS Rack', 'MELFI'})",frozenset({'MERLIN'}),0.00015074998115625234,0.010929373633828296,0.00015074998115625234,1.0,91.49655172413793,0.00014910237828690307,inf,0.9892197512250283
