Pair,NASA Categories,Custom Categories,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
FPEF/Ryutai,Physical Science/Multipurpose,Fluids/General science,0.001612903,0,0.002553191,0,0.008645533,0,0.006048387,0.00528169,0,0,0.001805054,0.002178649,0.004552352,0.00308642,0.001540832,0.003278689
DECLIC/MDS,Physical Science/Biology and Biotechnology,Fluids/Biology,0.001612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPM/HRF-2,Human Research/Multipurpose,Crew health/Crew health,0.001612903,0.001712329,0.000851064,0.000723066,0,0,0,0,0,0,0,0,0,0,0,0
ABRS/RC,Biology and Biotechnology/Human Research,Plant/Centrifuge,0.001612903,0.002568493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRS/MWA,Biology and Biotechnology/Multipurpose,Plant/Maintenance,0.001612903,0.000856164,0,0,0,0,0.004032258,0,0.001610306,0,0,0,0,0,0,0
EXPRESS Rack/WORF,Multipurpose/Earth and Space Science,General science/Earth observation,0.001612903,0.002568493,0.002553191,0,0,0,0,0,0,0,0,0,0,0,0,0
CIR/SAMS-II,Physical Science/Multipurpose,Furnace/Physics,0.001612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTEA/ELC,Human Research/Earth and Space Science,Crew health/External payloads,0.001612903,0,0,0.000723066,0,0,0,0,0,0,0,0,0,0,0,0
FIR/MELFI,Physical Science/Multipurpose,Fluids/Refrigeration,0.001612903,0.001712329,0,0,0,0,0,0,0.00805153,0.001626016,0.003610108,0,0,0,0,0
CBEF/IPU,Biology and Biotechnology/Multipurpose,Centrifuge/Image processing,0.001612903,0.000856164,0,0,0,0,0.006048387,0.007042254,0,0,0.003610108,0,0,0,0,0
CIR/ELC,Physical Science/Earth and Space Science,Furnace/External payloads,0.001612903,0,0.000851064,0.000723066,0,0,0,0.001760563,0,0,0,0,0,0,0,0
EXPRESS Rack/PFS,Multipurpose/Human Research,General science/Crew health,0.001612903,0,0.002553191,0,0,0,0,0,0,0,0,0,0,0,0,0
RC/Solar,Human Research/Earth and Space Science,Centrifuge/Astronomy,0.001612903,0,0,0,0,0,0,0,0,0,0,0,0,0.00154321,0.001540832,0
CBPD/Holter,Human Research/Human Research,Crew health/Crew health,0.001612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCRF/Ryutai,Biology and Biotechnology/Multipurpose,Biology/General science,0.000806452,0,0.000851064,0.000723066,0,0.0041841,0.002016129,0.001760563,0,0.001626016,0,0,0.003034901,0.00308642,0.001540832,0.003278689
IPU/PCRF,Multipurpose/Biology and Biotechnology,Image processing/Biology,0.000806452,0,0,0,0,0,0,0,0,0,0,0,0.003034901,0.00308642,0.001540832,0.003278689
FPEF/PCRF,Physical Science/Biology and Biotechnology,Fluids/Biology,0.000806452,0,0,0,0,0,0,0,0,0,0,0,0.003034901,0.00308642,0.001540832,0.003278689
PCRF/SCOF,Biology and Biotechnology/Biology and Biotechnology,Biology/Microscope,0.000806452,0,0,0,0,0,0,0,0,0,0,0,0.003034901,0.00308642,0.001540832,0.003278689
Double Coldbag/MERLIN,Multipurpose/Biology and Biotechnology,Refrigeration/Refrigeration,0.000806452,0.000856164,0.000851064,0,0,0,0,0.001760563,0,0,0,0.002178649,0,0,0,0
CIR/UMS,Physical Science/Human Research,Furnace/Crew health,0.000806452,0.000856164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXPRESS Rack/MAMS,Multipurpose/Multipurpose,General science/Physics,0.000806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003278689
EXPRESS Rack/SAMS-II,Multipurpose/Multipurpose,General science/Physics,0.000806452,0,0,0.000723066,0,0,0,0,0,0.001626016,0,0,0,0,0,0
CGBA/SLAMMD,Biology and Biotechnology/Human Research,Biology/General science,0.000806452,0.000856164,0.000851064,0,0,0,0,0,0,0,0,0,0,0,0,0
EXPRESS Rack/SLAMMD,Multipurpose/Human Research,General science/General science,0.000806452,0.000856164,0.000851064,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRS/MSG,Biology and Biotechnology/Multipurpose,Plant/Glovebox,0.000806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRS/SLAMMD,Biology and Biotechnology/Human Research,Plant/General science,0.000806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRS/MELFI,Biology and Biotechnology/Multipurpose,Plant/Refrigeration,0.000806452,0.002568493,0,0,0,0,0,0,0.003220612,0,0,0,0,0,0,0
FSL/MSG,Physical Science/Multipurpose,Fluids/Glovebox,0.000806452,0,0.000851064,0,0,0,0,0,0,0,0,0,0,0,0,0
MSG/MVIS,Multipurpose/Multipurpose,Glovebox/Vibration isolation,0.000806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MWA/Ryutai,Multipurpose/Multipurpose,Maintenance/General science,0.000806452,0,0.002553191,0,0.005763689,0,0,0,0,0,0,0,0,0,0,0
