Pair,NASA Categories,Custom Categories,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Double Coldbag/MERLIN,Multipurpose/Biology and Biotechnology,Refrigeration/Refrigeration,0.0008064516129032258,0.0008561643835616438,0.000851063829787234,0.0,0.0,0.0,0.0,0.0017605633802816902,0.0,0.0,0.0,0.002178649237472767,0.0,0.0,0.0,0.0
CIR/UMS,Physical Science/Human Research,Furnace/Crew health,0.0008064516129032258,0.0008561643835616438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXPRESS Rack/MAMS,Multipurpose/Multipurpose,General science/Physics,0.0008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003278688524590164
EXPRESS Rack/SAMS-II,Multipurpose/Multipurpose,General science/Physics,0.0008064516129032258,0.0,0.0,0.0007230657989877079,0.0,0.0,0.0,0.0,0.0,0.0016260162601626016,0.0,0.0,0.0,0.0,0.0,0.0
CGBA/SLAMMD,Biology and Biotechnology/Human Research,Biology/General science,0.0008064516129032258,0.0008561643835616438,0.000851063829787234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXPRESS Rack/SLAMMD,Multipurpose/Human Research,General science/General science,0.0008064516129032258,0.0008561643835616438,0.000851063829787234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRS/MSG,Biology and Biotechnology/Multipurpose,Plant/Glovebox,0.0008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRS/SLAMMD,Biology and Biotechnology/Human Research,Plant/General science,0.0008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRS/MELFI,Biology and Biotechnology/Multipurpose,Plant/Refrigeration,0.0008064516129032258,0.0025684931506849314,0.0,0.0,0.0,0.0,0.0,0.0,0.00322061191626409,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FSL/MSG,Physical Science/Multipurpose,Fluids/Glovebox,0.0008064516129032258,0.0,0.000851063829787234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSG/MVIS,Multipurpose/Multipurpose,Glovebox/Vibration isolation,0.0008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWA/Ryutai,Multipurpose/Multipurpose,Maintenance/General science,0.0008064516129032258,0.0,0.002553191489361702,0.0,0.005763688760806916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryutai/SCOF,Multipurpose/Biology and Biotechnology,General science/Microscope,0.0008064516129032258,0.0,0.0,0.0,0.0,0.0020920502092050207,0.008064516129032258,0.0,0.0,0.0,0.0018050541516245488,0.0,0.006069802731411229,0.0030864197530864196,0.0015408320493066256,0.003278688524590164
IPU/Ryutai,Multipurpose/Multipurpose,Image processing/General science,0.0008064516129032258,0.0,0.001702127659574468,0.004338394793926247,0.0,0.0,0.004032258064516129,0.0,0.0,0.0,0.0018050541516245488,0.0,0.0030349013657056147,0.0030864197530864196,0.0015408320493066256,0.003278688524590164
Double Coldbag/EXPRESS Rack,Multipurpose/Multipurpose,Refrigeration/General science,0.0008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRS/CGBA,Biology and Biotechnology/Biology and Biotechnology,Plant/Biology,0.0008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MELFI/Portable Pulmonary Function System,Multipurpose/Human Research,Refrigeration/Crew health,0.0008064516129032258,0.0008561643835616438,0.000851063829787234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSG/RC,Multipurpose/Human Research,Glovebox/Centrifuge,0.0008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALTEA/EXPRESS Rack,Human Research/Multipurpose,Crew health/General science,0.0008064516129032258,0.0008561643835616438,0.003404255319148936,0.004338394793926247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015174506828528073,0.0,0.0,0.0
ALTEA/SPHERES,Human Research/Technology Development and Demonstration,Crew health/Robotics,0.0008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar/WORF,Earth and Space Science/Earth and Space Science,Astronomy/Earth observation,0.0008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MELFI/MSG,Multipurpose/Multipurpose,Refrigeration/Glovebox,0.0008064516129032258,0.005136986301369863,0.000851063829787234,0.0,0.0,0.0,0.0,0.0,0.011272141706924315,0.0032520325203252032,0.0,0.0,0.0,0.0015432098765432098,0.0,0.0
